stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
943,04101-1,Pääsküla,59.37039771,24.63205691,943,Pääsküla,Nõmme,,6581545.62,535936.49,Harju1,Tallinna TA
944,04102-1,Sireli,59.37280861,24.6333102,944,,Nõmme,,6581814.86,536005.21,Harju1,Tallinna TA
945,04103-1,Pääsküla jaam,59.36949875,24.63839406,945,,Nõmme,,6581448.89,536297.74,Harju1,Tallinna TA
946,04201-1,Vikerkaare,59.36781432,24.65218019,946,,Nõmme,,6581268.79,537083.39,Harju1,Tallinna TA
159114,5190024-1,Metsaveere,58.95575631,25.75306623,159114,,Kareda vald,,6536505.60,600870.20,,Järvamaa ÜTK
948,04203-1,Raba,59.36589675,24.64257876,948,,Nõmme,,6581049.91,536539.51,Harju1,Tallinna TA
154465,7801031-1,Vahi tööstuspark,58.41766417,26.72159926,154465,,Tartu vald,,6478479.50,659004.87,,Tartu MV
156802,8200855-1,Aaviku,58.04084655,26.37286814,156802,,Otepää vald,,6435762.99,640124.32,,Valga MV
949,04301-1,Naaritsa,59.36479125,24.63752794,949,,Nõmme,,6580924.02,536253.48,Harju1,Tallinna TA
950,04302-1,Naaritsa,59.36480231,24.63598798,950,,Nõmme,,6580924.42,536165.90,Harju1,Tallinna TA
951,04303-1,Raba,59.36607995,24.64425133,951,,Nõmme,,6581071.23,536634.42,Harju1,Tallinna TA
955,04405-1,Pärnu maantee,59.36002564,24.62983283,955,,Nõmme,"Laagri suunas",6580389.01,535820.89,Harju1,Tallinna TA
22822,8401072-1,Vennijaagu,58.363813,25.685404,22822,,Viljandi vald,"Väluste suunas",6470494.68,598634.25,,Viljandi MV
959,04604-1,Rohula,59.36528156,24.63130193,959,,Nõmme,"Pärnu maanteel Laagri suunas",6580975.29,535898.93,Harju1,Tallinna TA
4643,21538-1,Suurupi tee,59.45314336,24.40830769,4643,,Harku vald,,6590665.00,523159.00,Harju2,Harjumaa ÜTK
962,04701-1,Hiiu jaam,59.38442248,24.67313292,962,,Nõmme,,6583130.66,538256.17,Harju1,Tallinna TA
963,04702-1,Hiiu jaam,59.38459996,24.67307905,963,,Nõmme,,6583150.40,538252.91,Harju1,Tallinna TA
966,04705-1,Vääna,59.38407086,24.65207845,966,,Nõmme,,6583079.67,537060.00,Harju1,Tallinna TA
968,04707-1,Tähetorni,59.38648799,24.64645704,968,,Nõmme,,6583345.84,536737.93,Harju1,Tallinna TA
969,04708-1,Tähetorni,59.38650105,24.64666582,969,,Nõmme,,6583347.41,536749.78,Harju1,Tallinna TA
